category	repo	stars	note
aitools	Anticu8/AI-Roblox-Development	0	Open-source tools, workflows and resources for AI-assisted Roblox game development.
aitools	Deltarax/RobloxJumpRope	0	A little roblox jumprope game to test AI development
aitools	magnet78/bloxscout	0	Reconnaissance for Roblox game devs and their agents — open-source MCP server + CLI for Roblox game analytics.
animation	dphfox/Fusion	798	Futuristic Luau for every universe.
animation	zildjibian/moon-animator	65	moon animator the roblox plugin
animation	AstraX2/AstraTween	13	AstraTween is a basic client tweening module for Roblox to improve visual quality and smoothness.
animation	prooheckcp/RoactMotion	13	RoactMotion is a Roblox library used to easily animate UI created under the Roact framework. It was heavily inspired in the React library called FramerMotion
animation	iamysko/cds	8	Discord bot based on Spring Boot. Implements JDA Discord API wrapper.
animation	1vrb/rcm	7	rcm, aka Roblox Cache Modifier is a python script to change any file that roblox caches (animations, textures, meshes and more)
animation	kode-sec/Sun-Animator-2	6	Official Sun Animator 2 for Roblox: advanced animation plugin with keyframes, bone rigs, timeline tools, and custom character support.
animation	befexx/Moon-Animator-2-Unlocked	5	Moon Animator 2 with removed "OUT OF DATE" lock and disabled version check.
animation	BetnixTech/Sun-Animator	4	The Sun Animator 2 is an effective Roblox plugin that simplifies the animation process. It offers an intuitive interface and a comprehensive set of capabilit...
animation	squidward5/RRA-Importer	4	A Blender add-on extension to easily import assets from the Roblox game (RIVALS)
animation	mastrickdev/spring	3	Spring is an animation library for Roblox, which uses the method of harmonic response to create smooth and natural movements.
animation	MechaXYZ/Modules	3	modules and animations for roblox
animation	RadiatedExodus/RigConverter	3	Roblox character rig conversion module, R6 and R15 supported
animation	Aerodymier/AnimationController	2	This is an animation controller module which will be an alternative to the bug which will be fixed soon, explained here: https://devforum.roblox.com/t/animat...
animation	Apexean/ApexeanU3D	2	A alternative to Blender made so it is easier to make Roblox UGC.
animation	bubu07codes/SimpleTween	2	A Roblox module for creating and playing tweens simply!
animation	buendie51/roblox-profile-emotes-extension	2	Allows you to use any owned emote in your profile picture.
animation	claylittlehorse/blender-cf-exporter	2	Exports roblox CFrames out from blender
animation	DervexDev/AdvancedSpring	2	Advanced Spring lets you create spring class for every major Roblox & Luau datatype
animation	Eliuutho/lilui	2	Minimalist Roblox UI library — glass-morphism, animated gradient, Lucide icons, anti-detection. WindUI-compatible API.
animation	GabryPol0/RBXmesh-blender	2	Blender add-on that allows you to export directly as .mesh for roblox
animation	iiPotatoFlamesii/animation-upload-server	2	The open source backend server for the ROBLOX Studio Bulk Animation Upload plugin!
animation	orange451/Groove-Animator	2	Let's get Groovy! Custom Roblox Animation Handler
animation	Rootleak/Reanimation	2	Reanimation API for Roblox
animation	syamhaque/Zombie-Survival	2	A small Roblox game made from scratch where a player must collect artifacts in the world and survive against zombie hordes. All scripting related to user int...
animation	tacheometry/rbxts-ccdik-controller	2	Alternate inverse kinematics method for Roblox Motor6D rigs. roblox-ts typings for datlass's CCDIK Controller.
animation	TheUnknown550/MCX_Studios	2	The official source code for MCX Studios — A modern, responsive personal game showcase website showcasing MCX Studios' games across Roblox and mobile platfor...
animation	9srow/NeonUI	1	A clean, customizable GUI framework for Roblox with smooth animations and modular design
animation	akira-kun/mixamoRigRoblox	1	Rename Mixamo Rig with this Blender Plugin to Roblox Nomenclature
animation	alphide/main-menu-handler	1	WIP Main Menu Screen utilizing Roblox's TweenService
animation	antvvnio/AllRobloxEmotesID	1	All of emotes from ROBLOX put into a string. Updated 1:05AM 7/31/2022 (MM/DD/YYYY)
animation	azumanga/Otter	1	An animation package for Roblox.
animation	bclarnOfficial/Roblox-Tutorial-for-Stamina	1	local player = game.Players.LocalPlayer local character = player.Character local UserInputService = game:GetService('UserInputService') local stamina = 100 l...
animation	CaidenSteele05/Attachment-Based-Raycast-Hit-Detection	1	Roblox melee hit detection module that tracks weapon attachments across animation frames and raycasts between positions to detect sword hits.
animation	Chukroid/bouncey-buttons	1	Bouncey Buttons is a lightweight and customizable module for animating UI button interactions in Roblox.
animation	coooolttyyttt/--Nobody-cares-about-credits.-Just-go-ahead-and-fuck-all-of-the-Robloxians-into-OBLIVION-	1	--Nobody cares about credits. Just go ahead and fuck all of the Robloxians into OBLIVION!!!!!! --Variables local SimpleSexGUI = Instance.new("ScreenGui") loc...
